input,target
गितिल,ᱜᱤᱛᱤᱞ
gitil,ᱜᱤᱛᱤᱞ
gitil,गितिल
ᱜᱤᱛᱤᱞ,sand
hassā,Clay
हस्सा,ᱦᱟᱥᱥᱟ
hassā,ᱦᱟᱥᱥᱟ
hassā,हस्सा
ᱦᱟᱥᱥᱟ,Clay
gāṛhā,valley(depth)
गाढ़ा,ᱜᱟᱰᱷᱟ
gāṛhā,ᱜᱟᱰᱷᱟ
gāṛhā,गाढ़ा
ᱜᱟᱰᱷᱟ,valley(depth)
sandak,Road
संडक,ᱥᱟᱱᱫᱟᱠ
sandak,ᱥᱟᱱᱫᱟᱠ
sandak,संडक
ᱥᱟᱱᱫᱟᱠ,Road
pīṛhī,Agricultural Land
पीढ़ी,ᱯᱤᱰᱤ
pīṛhī,ᱯᱤᱰᱤ
pīṛhī,पीढ़ी
ᱯᱤᱰᱤ,Agricultural Land
maidān,Playground
मैदन,ᱢᱮᱫᱟᱱ
maidān,ᱢᱮᱫᱟᱱ
maidān,मैदन
ᱢᱮᱫᱟᱱ,Playground
kuā̃,well
कुआँ,ᱠᱩᱣᱟ
kuā̃,ᱠᱩᱣᱟ
kuā̃,कुआँ
ᱠᱩᱣᱟ,well
nāi,river
नाइ,ᱱᱟᱭ
nāi,ᱱᱟᱭ
nāi,नाइ
ᱱᱟᱭ,river
pīt-pīṛhī,market-place
पीट-पीढ़ी,ᱯᱤᱛ-ᱯᱤᱰᱤ
pīt-pīṛhī,ᱯᱤᱛ-ᱯᱤᱰᱤ
pīt-pīṛhī,पीट-पीढ़ी
ᱯᱤᱛ-ᱯᱤᱰᱤ,market-place
bāndā,lake
बाँदा,ᱵᱟᱱᱫᱟ
bāndā,ᱵᱟᱱᱫᱟ
bāndā,बाँदा
ᱵᱟᱱᱫᱟ,lake
Jeth,Summer
जेठ,ᱡᱮᱛ
Jeth,ᱡᱮᱛ
Jeth,जेठ
ᱡᱮᱛ,Summer
Jargi,Rainy
जरगी,ᱡᱟᱨᱜᱤ
Jargi,ᱡᱟᱨᱜᱤ
Jargi,जरगी
ᱡᱟᱨᱜᱤ,Rainy
Ba,Spring
बा,ᱵᱟ
Ba,ᱵᱟ
Ba,बा
ᱵᱟ,Spring
sakam,Leaf
सकम,ᱥᱟᱠᱟᱢ
sakam,ᱥᱟᱠᱟᱢ
sakam,सकम
ᱥᱟᱠᱟᱢ,Leaf
sakom,Bangles
साकोम,ᱥᱟᱠᱚᱢ
sakom,ᱥᱟᱠᱚᱢ
sakom,साकोम
ᱥᱟᱠᱚᱢ,Bangles
susun,dance
सुसुन,ᱥᱩᱥᱩᱱ
susun,ᱥᱩᱥᱩᱱ
susun,सुसुन
ᱥᱩᱥᱩᱱ,dance
durang,singing
दुरङ्ग,ᱫᱩᱨᱟᱝ
durang,ᱫᱩᱨᱟᱝ
durang,दुरङ्ग
ᱫᱩᱨᱟᱝ,singing
dumang,Mandar drum
दुमाङ,ᱫᱩᱢᱟᱝ
dumang,ᱫᱩᱢᱟᱝ
dumang,दुमाङ
ᱫᱩᱢᱟᱝ,Mandar drum
saḍḍi / saddi,to play (instrument)
साड्डी,ᱥᱟᱰᱰᱤ
saḍḍi / saddi,ᱥᱟᱰᱰᱤ
saḍḍi / saddi,साड्डी
ᱥᱟᱰᱰᱤ,to play (instrument)
paham,memory
पहम,ᱯᱟᱦᱟᱢ
paham,ᱯᱟᱦᱟᱢ
paham,पहम
ᱯᱟᱦᱟᱢ,memory
baru,kusum
कुसुम,ᱵᱟᱨᱩ
baru,ᱵᱟᱨᱩ
baru,कुसुम
ᱵᱟᱨᱩ,kusum
lowa,Fig
लोवा,ᱞᱳᱣᱟ
lowa,ᱞᱳᱣᱟ
lowa,लोवा
ᱞᱳᱣᱟ,Fig
tiril,Kend / Tendu (East Indian Ebony)
केंद / केन्द,ᱛᱤᱨᱤᱞ
tiril,ᱛᱤᱨᱤᱞ
tiril,केंद / केन्द
ᱛᱤᱨᱤᱞ,Kend / Tendu (East Indian Ebony)
badi,Banyan tree
बड़ि,ᱵᱟᱫᱤ
badi,ᱵᱟᱫᱤ
badi,बड़ि
ᱵᱟᱫᱤ,Banyan tree
kera,banana
केरा,ᱠᱮᱨᱟ
kera,ᱠᱮᱨᱟ
kera,केरा
ᱠᱮᱨᱟ,banana
soso,Cashew
सोसो,ᱥᱚᱥᱚ
soso,ᱥᱚᱥᱚ
soso,सोसो
ᱥᱚᱥᱚ,Cashew
daak,grape
दाक,ᱫᱟᱠ
daak,ᱫᱟᱠ
daak,दाक
ᱫᱟᱠ,grape
nimbu,lemon 
निंबु,ᱱᱤᱢᱵᱩ
nimbu,ᱱᱤᱢᱵᱩ
nimbu,निंबु
ᱱᱤᱢᱵᱩ,lemon 
doola,Mahua fruit
डोला,ᱫᱚᱞᱟ
doola,ᱫᱚᱞᱟ
doola,डोला
ᱫᱚᱞᱟ,Mahua fruit
hesa,pakar
हेसा,ᱦᱮᱥᱟ
hesa,ᱦᱮᱥᱟ
hesa,हेसा
ᱦᱮᱥᱟ,pakar
dambha,dambha
डंभा,ᱫᱟᱢᱵᱷᱟ
dambha,ᱫᱟᱢᱵᱷᱟ
dambha,डंभा
ᱫᱟᱢᱵᱷᱟ,dambha
kudi,Spade / Hoe (Farming Tool)
कुड्डी,ᱠᱩᱫᱤ
kudi,ᱠᱩᱫᱤ
kudi,कुड्डी
ᱠᱩᱫᱤ,Spade / Hoe (Farming Tool)
nayal,Plough
नयाल,ᱱᱟᱭᱟᱞ
nayal,ᱱᱟᱭᱟᱞ
nayal,नयाल
ᱱᱟᱭᱟᱞ,Plough
sabad,Crowbar / Iron Rod / Pry bar
सबड़,ᱥᱟᱵᱟᱫ
sabad,ᱥᱟᱵᱟᱫ
sabad,सबड़
ᱥᱟᱵᱟᱫ,Crowbar / Iron Rod / Pry bar
hake,Axe
हाके,ᱦᱟᱠᱮ
hake,ᱦᱟᱠᱮ
hake,हाके
ᱦᱟᱠᱮ,Axe
basila, Chisel / Small Axe (Basula)
बसिला,ᱵᱟᱥᱤᱞᱟ
basila,ᱵᱟᱥᱤᱞᱟ
basila,बसिला
ᱵᱟᱥᱤᱞᱟ, Chisel / Small Axe (Basula)
aari,saw
आरि,ᱟᱨᱤ
aari,ᱟᱨᱤ
aari,आरि
ᱟᱨᱤ,saw
buti,Navel / Belly Button
बुटी,ᱵᱩᱴᱤ
buti,ᱵᱩᱴᱤ
buti,बुटी
ᱵᱩᱴᱤ,Navel / Belly Button
racha ,Courtyard / Yard
रचा,ᱨᱟᱪᱟ
racha ,ᱨᱟᱪᱟ
racha ,रचा
ᱨᱟᱪᱟ,Courtyard / Yard
kolom,Threshing floor / Yard
कोलोम,ᱠᱚᱞᱚᱢ
kolom,ᱠᱚᱞᱚᱢ
kolom,कोलोम
ᱠᱚᱞᱚᱢ,Threshing floor / Yard
pipidpium,Firefly / Glowworm
पिप्डपिउम,ᱯᱤᱯᱫᱯᱤᱩᱢ
pipidpium,ᱯᱤᱯᱫᱯᱤᱩᱢ
pipidpium,पिप्डपिउम
ᱯᱤᱯᱫᱯᱤᱩᱢ,Firefly / Glowworm
mayom,Blood
मयोम,ᱢᱟᱭᱚᱢ
mayom,ᱢᱟᱭᱚᱢ
mayom,मयोम
ᱢᱟᱭᱚᱢ,Blood
kamda,Blanket
कमड़ा,ᱠᱟᱢᱫᱟ
kamda,ᱠᱟᱢᱫᱟ
kamda,कमड़ा
ᱠᱟᱢᱫᱟ,Blanket
datro,Sickle
दात्रो,ᱫᱟᱴᱨᱚ
datro,ᱫᱟᱴᱨᱚ
datro,दात्रो
ᱫᱟᱴᱨᱚ,Sickle
balwa,Battle Axe / Large Axe (Pharsa)
बल्वा,ᱵᱟᱞᱣᱟ
balwa,ᱵᱟᱞᱣᱟ
balwa,बल्वा
ᱵᱟᱞᱣᱟ,Battle Axe / Large Axe (Pharsa)
lizza,Clothes
लिज्जा,ᱞᱤᱡᱡᱟ
lizza,ᱞᱤᱡᱡᱟ
lizza,लिज्जा
ᱞᱤᱡᱡᱟ,Clothes
hata,Winnowing Basket (Sup)
हटा,ᱦᱟᱛᱟ
hata,ᱦᱟᱛᱟ
hata,हटा
ᱦᱟᱛᱟ,Winnowing Basket (Sup)
Goḍo,Dirty
गोड़ो,ᱜᱚᱰᱚ
Goḍo,ᱜᱚᱰᱚ
Goḍo,गोड़ो
ᱜᱚᱰᱚ,Dirty
Parka,Far
परका,ᱯᱟᱨᱠᱟ
Parka,ᱯᱟᱨᱠᱟ
Parka,परका
ᱯᱟᱨᱠᱟ,Far
dela,Come
देला,ᱫᱮᱞᱟ
dela,ᱫᱮᱞᱟ
dela,देला
ᱫᱮᱞᱟ,Come
Pharchi,clean
फरचि,ᱯᱷᱟᱨᱪᱤ
Pharchi,ᱯᱷᱟᱨᱪᱤ
Pharchi,फरचि
ᱯᱷᱟᱨᱪᱤ,clean
Hon Koḍa,son
होन कोड़ा,ᱦᱚᱱ ᱠᱚᱰᱟ
Hon Koḍa,ᱦᱚᱱ ᱠᱚᱰᱟ
Hon Koḍa,होन कोड़ा
ᱦᱚᱱ ᱠᱚᱰᱟ,son
hon kudi,Daughter
होन कुड़ी,ᱦᱚᱱ ᱠᱩᱰᱤ
hon kudi,ᱦᱚᱱ ᱠᱩᱰᱤ
hon kudi,होन कुड़ी
ᱦᱚᱱ ᱠᱩᱰᱤ,Daughter
Mother-in-law,Hanar
हनर,ᱦᱟᱱᱟᱨ
Mother-in-law,ᱦᱟᱱᱟᱨ
Mother-in-law,हनर
ᱦᱟᱱᱟᱨ,Hanar
Iril Kuḍi,Husband's sister
इरिल कुड़ी,ᱤᱨᱤᱞ ᱠᱩᱰᱤ
Iril Kuḍi,ᱤᱨᱤᱞ ᱠᱩᱰᱤ
Iril Kuḍi,इरिल कुड़ी
ᱤᱨᱤᱞ ᱠᱩᱰᱤ,Husband's sister
Iril Koḍa,Husband's younger brother
इरिल कोड़ा,ᱤᱨᱤᱞ ᱠᱚᱰᱟ
Iril Koḍa,ᱤᱨᱤᱞ ᱠᱚᱰᱟ
Iril Koḍa,इरिल कोड़ा
ᱤᱨᱤᱞ ᱠᱚᱰᱟ,Husband's younger brother
Bhatu,Brother-in-law
भाटू,ᱵᱷᱟᱛᱩ
Bhatu,ᱵᱷᱟᱛᱩ
Bhatu,भाटू
ᱵᱷᱟᱛᱩ,Brother-in-law
Epil,star
ईपिल,ᱮᱯᱤᱞ
Epil,ᱮᱯᱤᱞ
Epil,ईपिल
ᱮᱯᱤᱞ,star
Tusing,Wear
तु्सिंग, ᱴᱩᱥᱩᱡ
Tusing, ᱴᱩᱥᱩᱡ
Tusing,तु्सिंग
 ᱴᱩᱥᱩᱡ,Wear
chaha,Tea
चहा,ᱪᱟᱦᱟ
chaha,ᱪᱟᱦᱟ
chaha,चहा
ᱪᱟᱦᱟ,Tea
Dola,Let's go
दोला,ᱰᱳᱞᱟ
Dola,ᱰᱳᱞᱟ
Dola,दोला
ᱰᱳᱞᱟ,Let's go
jaldi pe,Hurry up
जल्दी पे,ᱵᱮᱞᱩ ᱯᱮ
jaldi pe,ᱵᱮᱞᱩ ᱯᱮ
jaldi pe,जल्दी पे
ᱵᱮᱞᱩ ᱯᱮ,Hurry up
liza,clothes
लिजा,ᱞᱩᱛᱟ
liza,ᱞᱩᱛᱟ
liza,लिजा
ᱞᱩᱛᱟ,clothes
Nirme,Run
निर्मे,ᱱᱤᱨᱮ
Nirme,ᱱᱤᱨᱮ
Nirme,निर्मे
ᱱᱤᱨᱮ,Run
Mandi,Rice
मण्डी,ᱮᱱᱩᱞᱤ
Mandi,ᱮᱱᱩᱞᱤ
Mandi,मण्डी
ᱮᱱᱩᱞᱤ,Rice
Sabeme,Catch / Hold
सबेमे,ᱥᱟᱵᱮᱢᱮ
Sabeme,ᱥᱟᱵᱮᱢᱮ
Sabeme,सबेमे
ᱥᱟᱵᱮᱢᱮ,Catch / Hold
Karkad,brush
कर्कद,ᱪᱟᱨᱪᱟᱛ
Karkad,ᱪᱟᱨᱪᱟᱛ
Karkad,कर्कद
ᱪᱟᱨᱪᱟᱛ,brush
durang,song
दुरांग,ᱫᱩᱨᱟᱝ
durang,ᱫᱩᱨᱟᱝ
durang,दुरांग
ᱫᱩᱨᱟᱝ,song
sirma,heaven
सिर्मा,ᱥᱤᱨᱢᱟ
sirma,ᱥᱤᱨᱢᱟ
sirma,सिर्मा
ᱥᱤᱨᱢᱟ,heaven
bonga,ghost / spirit
बोङ्गा,ᱵᱚᱝᱜᱟ
bonga,ᱵᱚᱝᱜᱟ
bonga,बोङ्गा
ᱵᱚᱝᱜᱟ,ghost / spirit
baade,big
बाड़े / बाडे,ᱵᱟᱟᱫᱮ
baade,ᱵᱟᱟᱫᱮ
baade,बाड़े / बाडे
ᱵᱟᱟᱫᱮ,big
marang,big / great / supreme
मरांग,ᱢᱟᱨᱟᱝ
marang,ᱢᱟᱨᱟᱝ
marang,मरांग
ᱢᱟᱨᱟᱝ,big / great / supreme
malhan,sem beans
मल्हन,ᱢᱟᱞᱦᱟᱱ
malhan,ᱢᱟᱞᱦᱟᱱ
malhan,मल्हन
ᱢᱟᱞᱦᱟᱱ,sem beans
kanṭhaṛ,jackfruit
कनठड़,ᱠᱟᱱᱛᱟᱝᱽ
kanṭhaṛ,ᱠᱟᱱᱛᱟᱝᱽ
kanṭhaṛ,कनठड़
ᱠᱟᱱᱛᱟᱝᱽ,jackfruit
belati, tomato
बेलाती,ᱵᱮᱞᱟᱴᱤ
belati,ᱵᱮᱞᱟᱴᱤ
belati,बेलाती
ᱵᱮᱞᱟᱴᱤ, tomato
sanga,sweet potato
संगा,ᱥᱟᱜᱟ
sanga,ᱥᱟᱜᱟ
sanga,संगा
ᱥᱟᱜᱟ,sweet potato
matar,pea
मटर,ᱯᱟᱛᱟᱨ
matar,ᱯᱟᱛᱟᱨ
matar,मटर
ᱯᱟᱛᱟᱨ,pea
gajar,carrot
गाजर,ᱜᱟᱶᱟᱨ
gajar,ᱜᱟᱶᱟᱨ
gajar,गाजर
ᱜᱟᱶᱟᱨ,carrot
simlamarchi,capsicum
सिमलमर्ची,ᱥᱤᱱᱞᱟᱢᱟᱽᱪᱤ
simlamarchi,ᱥᱤᱱᱞᱟᱢᱟᱽᱪᱤ
simlamarchi,सिमलमर्ची
ᱥᱤᱱᱞᱟᱢᱟᱽᱪᱤ,capsicum
baha,flower
बहा,ᱵᱟᱦᱟ
baha,ᱵᱟᱦᱟ
baha,बहा
ᱵᱟᱦᱟ,flower
litchi,litchi
लिची,ᱮᱱᱴᱤᱪᱤ
litchi,ᱮᱱᱴᱤᱪᱤ
litchi,लिची
ᱮᱱᱴᱤᱪᱤ,litchi
towa,milk
तोवा,ᱴᱚᱣᱟ
towa,ᱴᱚᱣᱟ
towa,तोवा
ᱴᱚᱣᱟ,milk
akhrot,walnut
अखरोट,ᱟᱠᱷᱨᱚᱴ
akhrot,ᱟᱠᱷᱨᱚᱴ
akhrot,अखरोट
ᱟᱠᱷᱨᱚᱴ,walnut
kaju,cashew nut
काजू,ᱠᱟᱡᱩ
kaju,ᱠᱟᱡᱩ
kaju,काजू
ᱠᱟᱡᱩ,cashew nut
raisins,kismish
किसमिश,ᱠᱤᱥᱢᱤᱥ
raisins,ᱠᱤᱥᱢᱤᱥ
raisins,किसमिश
ᱠᱤᱥᱢᱤᱥ,kismish
angur,grapes
अंगुर,ᱟᱝᱜᱩᱨ
angur,ᱟᱝᱜᱩᱨ
angur,अंगुर
ᱟᱝᱜᱩᱨ,grapes
meral,gooseberry
मेरल,ᱢᱮᱨᱟᱞ
meral,ᱢᱮᱨᱟᱞ
meral,मेरल
ᱢᱮᱨᱟᱞ,gooseberry
aanar,pomegranate
अनार,ᱟᱱᱟᱨ
aanar,ᱟᱱᱟᱨ
aanar,अनार
ᱟᱱᱟᱨ,pomegranate
santra,Orange
संतरा,ᱥᱟᱱᱴᱨᱟ
santra,ᱥᱟᱱᱴᱨᱟ
santra,संतरा
ᱥᱟᱱᱴᱨᱟ,Orange
 sarifa,custard apple
नेवा,ᱱᱮᱣᱟ
 sarifa,ᱱᱮᱣᱟ
 sarifa,नेवा
ᱱᱮᱣᱟ,custard apple
dodadi,Indian jujube
दोदाड़ी,ᱫᱚᱫᱟᱫᱤ
dodadi,ᱫᱚᱫᱟᱫᱤ
dodadi,दोदाड़ी
ᱫᱚᱫᱟᱫᱤ,Indian jujube
nawa,new
नवा,ᱱᱟᱣᱟ
nawa,ᱱᱟᱣᱟ
nawa,नवा
ᱱᱟᱣᱟ,new
pabita,papaya
पबिता,ᱯᱟᱵᱤᱛᱟ
pabita,ᱯᱟᱵᱤᱛᱟ
pabita,पबिता
ᱯᱟᱵᱤᱛᱟ,papaya
taka,money / paisa
टाका,ᱴᱟᱠᱟ
taka,ᱴᱟᱠᱟ
taka,टाका
ᱴᱟᱠᱟ,money / paisa
kadal,banana
कदल,ᱠᱟᱫᱟᱞ
kadal,ᱠᱟᱫᱟᱞ
kadal,कदल
ᱠᱟᱫᱟᱞ,banana
uli,mango
उली,ᱩᱞᱤ
uli,ᱩᱞᱤ
uli,उली
ᱩᱞᱤ,mango
tarbuj,watermelon
तरबूज,ᱴᱟᱨᱵᱩᱡ
tarbuj,ᱴᱟᱨᱵᱩᱡ
tarbuj,तरबूज
ᱴᱟᱨᱵᱩᱡ,watermelon
kadi,female buffalo
कङि,ᱠᱟᱫᱤ
kadi,ᱠᱟᱫᱤ
kadi,कङि
ᱠᱟᱫᱤ,female buffalo
upal baha,lotus
उपल बहा,ᱩᱯᱟᱜ ᱵᱟᱦᱟ
upal baha,ᱩᱯᱟᱜ ᱵᱟᱦᱟ
upal baha,उपल बहा
ᱩᱯᱟᱜ ᱵᱟᱦᱟ,lotus
tusing,to wear
तुसिंग,ᱴᱩᱥᱤᱝ
tusing,ᱴᱩᱥᱤᱝ
tusing,तुसिंग
ᱴᱩᱥᱤᱝ,to wear
baudaahi,baudaahi
बउडाही,ᱵᱟᱩᱫᱟᱦᱤ
baudaahi,ᱵᱟᱩᱫᱟᱦᱤ
baudaahi,बउडाही
ᱵᱟᱩᱫᱟᱦᱤ,baudaahi
aeger,to scold
एेगर,ᱟᱮᱜᱮᱨ
aeger,ᱟᱮᱜᱮᱨ
aeger,एेगर
ᱟᱮᱜᱮᱨ,to scold
urui,fever
उरुई,ᱩᱨᱩᱭ
urui,ᱩᱨᱩᱭ
urui,उरुई
ᱩᱨᱩᱭ,fever
kaami,work
कामी,ᱠᱟᱢᱤ
kaami,ᱠᱟᱢᱤ
kaami,कामी
ᱠᱟᱢᱤ,work
jonoh,broom
जोनोह,ᱡᱚᱱᱚᱦ
jonoh,ᱡᱚᱱᱚᱦ
jonoh,जोनोह
ᱡᱚᱱᱚᱦ,broom
fadha,kick
फ़दा,ᱯᱟᱣᱷᱟ
fadha,ᱯᱟᱣᱷᱟ
fadha,फ़दा
ᱯᱟᱣᱷᱟ,kick
nuba,night
नुबा,ᱥᱩᱵᱟ
nuba,ᱥᱩᱵᱟ
nuba,नुबा
ᱥᱩᱵᱟ,night
train,train
ट्रेन,ᱴᱽᱭᱽᱮᱱ
train,ᱴᱽᱭᱽᱮᱱ
train,ट्रेन
ᱴᱽᱭᱽᱮᱱ,train
bakad,to talk
बकड़,ᱵᱟᱠᱟᱰ
bakad,ᱵᱟᱠᱟᱰ
bakad,बकड़
ᱵᱟᱠᱟᱰ,to talk
bus,bus
बस,ᱵᱩᱥ
bus,ᱵᱩᱥ
bus,बस
ᱵᱩᱥ,bus
duwar,gate
दुवार,ᱴᱩᱟᱨ
duwar,ᱴᱩᱟᱨ
duwar,दुवार
ᱴᱩᱟᱨ,gate
khidki,window
खिड़की,ᱬᱤᱰᱤᱪᱤ
khidki,ᱬᱤᱰᱤᱪᱤ
khidki,खिड़की
ᱬᱤᱰᱤᱪᱤ,window
nete,here
नेते,ᱱᱮᱴᱮ
nete,ᱱᱮᱴᱮ
nete,नेते
ᱱᱮᱴᱮ,here
hante,there
हांते,ᱨᱟᱴᱮ
hante,ᱨᱟᱴᱮ
hante,हांते
ᱨᱟᱴᱮ,there
kharpa,slipper
खरपा,ᱬᱷᱟᱲᱟ
kharpa,ᱬᱷᱟᱲᱟ
kharpa,खरपा
ᱬᱷᱟᱲᱟ,slipper
denga,to help
देंगा,ᱴᱮᱡᱟ
denga,ᱴᱮᱡᱟ
denga,देंगा
ᱴᱮᱡᱟ,to help
apger,fight
एपगेर,ᱟᱯᱜᱮᱨ
apger,ᱟᱯᱜᱮᱨ
apger,एपगेर
ᱟᱯᱜᱮᱨ,fight
aasi,to ask for / to request
आसि,ᱟᱮᱥᱤ
aasi,ᱟᱮᱥᱤ
aasi,आसि
ᱟᱮᱥᱤ,to ask for / to request
enda,to throw
एण्डा,ᱮᱱᱩᱛᱟ
enda,ᱮᱱᱩᱛᱟ
enda,एण्डा
ᱮᱱᱩᱛᱟ,to throw
kiring,to buy
किरिंग,ᱪᱮᱨᱤᱝ
kiring,ᱪᱮᱨᱤᱝ
kiring,किरिंग
ᱪᱮᱨᱤᱝ,to buy
doho,to keep
दोहो,ᱴᱚᱧᱚ
doho,ᱴᱚᱧᱚ
doho,दोहो
ᱴᱚᱧᱚ,to keep
ring,mudam
मुदाम,ᱢᱩᱰᱟᱢ
ring,ᱢᱩᱰᱟᱢ
ring,मुदाम
ᱢᱩᱰᱟᱢ,mudam
sikdi,mosquito
सिकड़ी,ᱥᱤᱠᱫᱤ
sikdi,ᱥᱤᱠᱫᱤ
sikdi,सिकड़ी
ᱥᱤᱠᱫᱤ,mosquito
taincha,let it be / leave it
ताईंचा,ᱴᱟᱭᱱᱪᱟ
taincha,ᱴᱟᱭᱱᱪᱟ
taincha,ताईंचा
ᱴᱟᱭᱱᱪᱟ,let it be / leave it
bayar,rope
बायर,ᱵᱟᱭᱟᱨ
bayar,ᱵᱟᱭᱟᱨ
bayar,बायर
ᱵᱟᱭᱟᱨ,rope
sida,before
सिदा,ᱥᱤᱫᱟ
sida,ᱥᱤᱫᱟ
sida,सिदा
ᱥᱤᱫᱟ,before
tayom,later
तायोम,ᱴᱟᱭᱚᱢ
tayom,ᱴᱟᱭᱚᱢ
tayom,तायोम
ᱴᱟᱭᱚᱢ,later
honor,roam
होनोर,ᱦᱚᱱᱚᱨ
honor,ᱦᱚᱱᱚᱨ
honor,होनोर
ᱦᱚᱱᱚᱨ,roam
hon,child
होन,ᱦᱚᱱ
hon,ᱦᱚᱱ
hon,होन
ᱦᱚᱱ,child
sekad,to be ready
सेकड़,ᱥᱮᱠᱟᱫ
sekad,ᱥᱮᱠᱟᱫ
sekad,सेकड़
ᱥᱮᱠᱟᱫ,to be ready
tayaren pe,get ready 
तायारेन पे,ᱴᱟᱭᱟᱨᱮᱱ ᱯᱮ
tayaren pe,ᱴᱟᱭᱟᱨᱮᱱ ᱯᱮ
tayaren pe,तायारेन पे
ᱴᱟᱭᱟᱨᱮᱱ ᱯᱮ,get ready 
duki,pee
डुकी,ᱫᱩᱠᱤ
duki,ᱫᱩᱠᱤ
duki,डुकी
ᱫᱩᱠᱤ,pee
usad,vomit
उसड,ᱲᱩᱥᱟᱨ
usad,ᱲᱩᱥᱟᱨ
usad,उसड
ᱲᱩᱥᱟᱨ,vomit
birid,get up
बिरिद,ᱵᱤᱲᱤᱴ
birid,ᱵᱤᱲᱤᱴ
birid,बिरिद
ᱵᱤᱲᱤᱴ,get up
dudum,sleep
दुडुम,ᱩᱴᱩᱢ
dudum,ᱩᱴᱩᱢ
dudum,दुडुम
ᱩᱴᱩᱢ,sleep
sadi,to play (instrument)
साडी,ᱥᱟᱸᱤ
sadi,ᱥᱟᱸᱤ
sadi,साडी
ᱥᱟᱸᱤ,to play (instrument)
hoyo,air
होयो,ᱦᱮᱴᱚ
hoyo,ᱦᱮᱴᱚ
hoyo,होयो
ᱦᱮᱴᱚ,air
hante alom sena,don't go there
हांते अलोम सेना,ᱦᱟᱴᱮ ᱟᱞᱚᱢ ᱥᱮᱱᱟ
hante alom sena,ᱦᱟᱴᱮ ᱟᱞᱚᱢ ᱥᱮᱱᱟ
hante alom sena,हांते अलोम सेना
ᱦᱟᱴᱮ ᱟᱞᱚᱢ ᱥᱮᱱᱟ,don't go there
gasik,fart
गासिक,ᱜᱟᱥᱤᱪ
gasik,ᱜᱟᱥᱤᱪ
gasik,गासिक
ᱜᱟᱥᱤᱪ,fart
chimin,how much
चीमिन,ᱪᱤᱢᱤᱱ
chimin,ᱪᱤᱢᱤᱱ
chimin,चीमिन
ᱪᱤᱢᱤᱱ,how much
chimin taka,how many rupees
चीमिन टाका,ᱪᱤᱢᱤᱱ ᱧᱟᱪᱟ
chimin taka,ᱪᱤᱢᱤᱱ ᱧᱟᱪᱟ
chimin taka,चीमिन टाका
ᱪᱤᱢᱤᱱ ᱧᱟᱪᱟ,how many rupees
alom sena,don't go 
अलोम सेना,ᱟᱞᱚᱢ ᱥᱮᱱᱟ
alom sena,ᱟᱞᱚᱢ ᱥᱮᱱᱟ
alom sena,अलोम सेना
ᱟᱞᱚᱢ ᱥᱮᱱᱟ,don't go 
kote,where
कोते,ᱤᱪᱮ
kote,ᱤᱪᱮ
kote,कोते
ᱤᱪᱮ,where
kote seno tanam?,where are you going?
कोते सेनो तनाम?,ᱤᱪᱮ ᱥᱮᱱᱚ ᱴᱟᱱᱟᱢ?
kote seno tanam?,ᱤᱪᱮ ᱥᱮᱱᱚ ᱴᱟᱱᱟᱢ?
kote seno tanam?,कोते सेनो तनाम?
ᱤᱪᱮ ᱥᱮᱱᱚ ᱴᱟᱱᱟᱢ?,where are you going?
aam mandi jom kedam,Did you eat food?
आम मंडी जोम केदाम?,ᱟᱩᱜ ᱢᱟᱱᱩ ᱖ᱚᱢ ᱴᱮ᱘ᱟᱢ?
aam mandi jom kedam,ᱟᱩᱜ ᱢᱟᱱᱩ ᱖ᱚᱢ ᱴᱮ᱘ᱟᱢ?
aam mandi jom kedam,आम मंडी जोम केदाम?
ᱟᱩᱜ ᱢᱟᱱᱩ ᱖ᱚᱢ ᱴᱮ᱘ᱟᱢ?,Did you eat food?
jarika,Just like that
जरीका,ᱵᱟᱷᱤᱪᱟ
jarika,ᱵᱟᱷᱤᱪᱟ
jarika,जरीका
ᱵᱟᱷᱤᱪᱟ,Just like that
riding,forget
रिडिंग,ᱨᱤᱫᱤᱝ
riding,ᱨᱤᱫᱤᱝ
riding,रिडिंग
ᱨᱤᱫᱤᱝ,forget
peda	,guest
पेडा,ᱯᱮᱫᱟ
peda	,ᱯᱮᱫᱟ
peda	,पेडा
ᱯᱮᱫᱟ,guest
eskar,alone
एस्कर,ᱮᱥᱠᱟᱨ
eskar,ᱮᱥᱠᱟᱨ
eskar,एस्कर
ᱮᱥᱠᱟᱨ,alone
saree,saree
साड़ी,ᱥᱟᱨᱤ
saree,ᱥᱟᱨᱤ
saree,साड़ी
ᱥᱟᱨᱤ,saree
bhida,I will hit you 
भीड़ा,ᱵᱷᱤᱫᱟ
bhida,ᱵᱷᱤᱫᱟ
bhida,भीड़ा
ᱵᱷᱤᱫᱟ,I will hit you 
Nam kedam?,Did you get it?
नम केदाम?,ᱱᱟᱢ ᱠᱮᱫᱟᱢ?
Nam kedam?,ᱱᱟᱢ ᱠᱮᱫᱟᱢ?
Nam kedam?,नम केदाम?
ᱱᱟᱢ ᱠᱮᱫᱟᱢ?,Did you get it?
nel kedam?,Did you see it?
नेल केदाम?,ᱱᱮᱞ ᱠᱮᱫᱟᱢ?
nel kedam?,ᱱᱮᱞ ᱠᱮᱫᱟᱢ?
nel kedam?,नेल केदाम?
ᱱᱮᱞ ᱠᱮᱫᱟᱢ?,Did you see it?
jom tam,eat it
जोम तम,᱈ᱚᱢ ᱢᱟᱢ
